location,año,total_vaccinations_per_hundred
China,2022,230.92
China,2022,231.1
China,2022,231.26
China,2022,231.46
China,2022,231.65
China,2022,231.85
China,2022,232.04
China,2022,232.22
China,2022,232.37
China,2022,232.5
China,2022,232.66
China,2022,232.83
China,2022,233.01
China,2022,233.19
China,2022,233.37
China,2022,233.52
China,2022,233.66
China,2022,233.82
China,2022,233.98
China,2022,234.14
China,2022,234.29
China,2022,234.45
China,2022,234.56
China,2022,234.63
China,2022,234.7
China,2022,234.78
China,2022,234.84
China,2022,234.92
China,2022,235.01
China,2022,235.09
China,2022,235.15
China,2022,235.24
China,2022,235.33
China,2022,235.44
China,2022,235.54
China,2022,235.65
China,2022,235.74
China,2022,235.81
China,2022,235.9
China,2022,235.99
China,2022,236.09
China,2022,236.18
China,2022,236.28
China,2022,236.36
China,2022,236.42
China,2022,236.5
China,2022,236.59
China,2022,236.68
China,2022,236.76
China,2022,236.85
China,2022,236.92
China,2022,236.98
China,2022,237.06
China,2022,237.14
China,2022,237.2
China,2022,237.26
China,2022,237.28
China,2022,237.32
China,2022,237.35
China,2022,237.4
China,2022,237.46
China,2022,237.51
China,2022,237.57
China,2022,237.62
China,2022,237.67
China,2022,237.71
China,2022,237.76
China,2022,237.82
China,2022,237.88
China,2022,237.97
China,2022,238.02
China,2022,238.06
China,2022,238.1
China,2022,238.15
China,2022,238.2
China,2022,238.25
China,2022,238.31
China,2022,238.36
China,2022,238.4
China,2022,238.43
China,2022,238.48
China,2022,238.53
China,2022,238.58
China,2022,238.63
China,2022,238.67
China,2022,238.7
China,2022,238.73
China,2022,238.77
China,2022,238.81
China,2022,238.86
China,2022,238.91
China,2022,238.96
China,2022,239.01
China,2022,239.04
China,2022,239.08
China,2022,239.13
China,2022,239.18
China,2022,239.23
China,2022,239.28
China,2022,239.32
China,2022,239.36
China,2022,239.4
China,2022,239.46
China,2022,239.51
China,2022,239.57
China,2022,239.62
China,2022,239.67
China,2022,239.7
China,2022,239.76
China,2022,239.81
China,2022,239.87
China,2022,239.93
China,2022,240.0
China,2022,240.05
China,2022,240.11
China,2022,240.14
China,2022,240.16
China,2022,240.19
China,2022,240.22
China,2022,240.24
China,2022,240.26
China,2022,240.27
China,2022,240.29
China,2022,240.31
China,2022,240.34
China,2022,240.36
China,2022,240.38
China,2022,240.4
China,2022,240.41
China,2022,240.43
China,2022,240.45
China,2022,240.48
China,2022,240.5
China,2022,240.52
China,2022,240.54
China,2022,240.55
China,2022,240.57
China,2022,240.6
China,2022,240.62
China,2022,240.64
China,2022,240.66
China,2022,240.68
China,2022,240.69
China,2022,240.71
China,2022,240.73
China,2022,240.75
China,2022,240.76
China,2022,240.78
China,2022,240.79
China,2022,240.79
China,2022,240.81
China,2022,240.82
China,2022,240.83
China,2022,240.84
China,2022,240.85
China,2022,240.85
China,2022,240.86
China,2022,240.87
China,2022,240.88
China,2022,240.89
China,2022,240.9
China,2022,240.91
China,2022,240.92
China,2022,240.92
China,2022,240.93
China,2022,240.94
China,2022,240.95
China,2022,240.96
China,2022,240.97
China,2022,240.98
China,2022,240.99
China,2022,241.0
China,2022,241.01
China,2022,241.02
China,2022,241.03
China,2022,241.04
China,2022,241.04
China,2022,241.04
China,2022,241.05
China,2022,241.05
China,2022,241.06
China,2022,241.06
China,2022,241.07
China,2022,241.07
China,2022,241.08
China,2022,241.09
China,2022,241.09
China,2022,241.1
China,2022,241.11
China,2022,241.12
China,2022,241.13
China,2022,241.13
China,2022,241.14
China,2022,241.15
China,2022,241.15
China,2022,241.16
China,2022,241.17
China,2022,241.18
China,2022,241.18
China,2022,241.19
China,2022,241.2
China,2022,241.2
China,2022,241.21
China,2022,241.22
China,2022,241.23
China,2022,241.23
China,2022,241.24
China,2022,241.25
China,2022,241.25
China,2022,241.26
China,2022,241.27
China,2022,241.28
China,2022,241.28
China,2022,241.29
China,2022,241.3
China,2022,241.31
China,2022,241.31
China,2022,241.32
China,2022,241.33
China,2022,241.34
China,2022,241.35
China,2022,241.36
China,2022,241.37
China,2022,241.38
China,2022,241.4
China,2022,241.41
China,2022,241.42
China,2022,241.43
China,2022,241.44
China,2022,241.45
China,2022,241.46
China,2022,241.47
China,2022,241.48
China,2022,241.49
China,2022,241.5
China,2022,241.5
China,2022,241.52
China,2022,241.53
China,2022,241.53
China,2022,241.55
China,2022,241.55
China,2022,241.57
China,2022,241.6
China,2022,241.63
China,2022,241.68
China,2022,241.75
China,2022,241.83
China,2022,241.88
China,2022,241.97
China,2022,242.07
China,2022,242.18
China,2022,242.27
China,2022,242.37
China,2022,242.43
China,2022,242.48
China,2022,242.54
China,2022,242.76
China,2022,243.02
China,2022,243.17
China,2022,243.33
China,2022,243.42
China,2022,243.48
China,2022,243.58
China,2022,243.66
China,2022,243.74
China,2022,243.81
China,2022,243.88
China,2022,243.92
China,2023,243.95
China,2023,243.98
China,2023,244.03
China,2023,244.08
China,2023,244.14
China,2023,244.22
China,2023,244.27
China,2023,244.3
China,2023,244.39
China,2023,244.44
China,2023,244.48
China,2023,244.59
China,2023,244.62
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,244.73
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,244.74
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,244.79
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,
China,2023,244.84
Colombia,2021,0.0
Colombia,2021,0.02
Colombia,2021,0.04
Colombia,2021,0.06
Colombia,2021,0.08
Colombia,2021,0.09
Colombia,2021,0.09
Colombia,2021,0.1
Colombia,2021,0.13
Colombia,2021,0.16
Colombia,2021,0.22
Colombia,2021,0.25
Colombia,2021,0.29
Colombia,2021,0.33
Colombia,2021,0.37
Colombia,2021,0.4
Colombia,2021,0.46
Colombia,2021,0.52
Colombia,2021,0.58
Colombia,2021,0.61
Colombia,2021,0.78
Colombia,2021,0.93
Colombia,2021,1.14
Colombia,2021,1.34
Colombia,2021,1.51
Colombia,2021,1.63
Colombia,2021,1.76
Colombia,2021,1.88
Colombia,2021,1.97
Colombia,2021,2.08
Colombia,2021,2.18
Colombia,2021,2.28
Colombia,2021,2.34
Colombia,2021,2.39
Colombia,2021,2.51
Colombia,2021,2.67
Colombia,2021,2.85
Colombia,2021,3.08
Colombia,2021,3.33
Colombia,2021,3.51
Colombia,2021,3.79
Colombia,2021,4.09
Colombia,2021,4.32
Colombia,2021,4.44
Colombia,2021,4.5
Colombia,2021,4.59
Colombia,2021,4.64
Colombia,2021,4.78
Colombia,2021,
Colombia,2021,5.19
Colombia,2021,5.42
Colombia,2021,5.68
Colombia,2021,5.86
Colombia,2021,
Colombia,2021,6.12
Colombia,2021,6.46
Colombia,2021,6.66
Colombia,2021,
Colombia,2021,6.92
Colombia,2021,7.15
Colombia,2021,7.27
Colombia,2021,7.45
Colombia,2021,7.67
Colombia,2021,7.96
Colombia,2021,8.14
Colombia,2021,8.32
Colombia,2021,8.48
Colombia,2021,8.58
Colombia,2021,
Colombia,2021,8.92
Colombia,2021,9.09
Colombia,2021,9.3
